"per_num","vol","bal"
6285,41885,251601672.439999
6286,36141,220726121.169999
6287,36446,241052785.620001
6288,32431,215588999.749999
6289,31925,210651222.1
6290,30990,199087032.740001
6291,28471,194068202.939997
6292,27911,188902133.61
6293,25712,175392297.28
6294,29606,205295475.499998
6295,27755,195652646.829999
6296,28081,202786306.03
6297,33351,244467801.970002
6298,31863,231924469.880001
6299,36477,268409367.190001
6300,34483,250637214.490001
6301,31894,231750983.410001
6302,31969,238443333.160001
6303,32993,246090362.509998
6304,36745,274807506.169999
6305,39442,298534235.369999
6306,48901,371664609.119995
6307,49504,384408550.220002
6308,53773,424620422.779997
6309,60454,490309689.930002
6310,61532,519138909.29
6311,66752,567453734.17
6312,57199,494396901.140002
6313,57275,491343164.820001
6314,63522,555593976.559996
6315,64973,591433223.999995
6316,64892,589669565.52
6317,59482,523137184.92
6318,64046,576840347.360007
6319,58889,527508587.949998
6320,56678,502062163.149999
6321,65364,591748229.300002
6322,54201,486266629.989998
6323,57029,515429955.440001
6324,46981,429387844.060005
6325,44588,415860800.160002
6326,40560,370664064.100002
6327,41906,386644571.26
6328,47069,451338711.66
6329,46259,479977849.300003
6330,34621,349119293.64
6331,30754,311167100.509997
6332,29849,296488675.97
6333,31708,315529048.459999
6334,29415,295276320.489998
6335,31212,300357201.17
6336,21969,210369635.970001
6337,21095,201408830.72
6338,20239,191022739.72
6339,19853,186867506.149999
6340,22163,207555232.51
6341,18748,175751315.720001
6342,18328,174448611.699999
6343,13974,130233842.26
6344,9491,87261934.2399999
6345,9547,88342890.2299998
6346,8936,79658454.3499999
6347,9304,85569419.3900003
6348,7333,68864781.17
6349,6262,60362482.4500001
6350,5847,54841189.3300001
6351,5808,52566496.5000002
6352,5909,52757886.58
6353,5498,47525969.11
6354,5897,51000364.12
6355,7384,65348443.4000003
6356,5475,50816547.2199999
6357,5810,54895238.5200002
6358,4652,41537992.76
6359,5115,45628956.1499999
6360,4598,39577978.28
6361,4657,38973570.41
6362,4071,34211063.48
6363,5531,46397477.6
6364,5962,48439899.04
6365,5838,46569452.5400001
6366,7041,55590344.84
6367,5673,42418811.1799999
6368,5084,39984525.09
6369,5723,44138517.6599999
6370,5751,41630383.0400001
6371,6574,49268180.96
6372,5927,43331454.3099999
6373,5836,43145872.4700001
6374,5879,43903667.1999999
6375,6221,46453182.8199999
6376,6504,46106303.0099999
6377,6549,47050517.2500002
6378,6945,48787102.8200001
6379,5836,40417027.2500001
6380,6217,44221811.2600001
6381,6374,44694381.4399998
6382,6486,45138703.2299999
6383,6855,47912662.4199998
6384,6160,42059233.01
6385,5612,38819224.4400001
6386,5607,37611754.0700001
6387,5872,39484913.29
6388,5562,37372455.3900002
6389,6026,40217217.5299999
6390,6197,39711755.3699999
6391,5496,35366808.88
6392,5345,35784393.71
6393,5531,35965445.82
6394,5690,36570453.03
6395,6053,38068554.0000002
6396,5410,33368275.6699999
6397,5017,32425372.75
6398,4892,31621149.9
6399,5482,34298497.0399999
6400,6521,40989636.0100002
6401,6865,42690619.6100001
6402,7209,44774881.88
6403,7070,43179398.8199999
6404,6791,40802018.8
6405,7792,47290755.1099999
6406,7176,43196976.0999999
6407,8528,50327175.2100002
6408,7055,40561005.1699998
6409,7652,44869625.22
6410,7615,41879312.85
6411,8006,46572793.44
6412,9727,52993063.47
6413,12195,64103280.9700002
6414,13488,72554600.7700003
6415,9692,54133874.4199999
6416,8385,47336464.0200002
6417,9695,54798876.6699999
6418,3,13500.88
